address,b_mianji,chaoxiang,dianti,display_total_price,gongnuan,huxing,huxing_jiegou,jianzhu_jiegou,jianzhu_leixing,louceng,niandai,sold_date,sold_total_price,t_mianji,traffic,unit_price,zhuangxiu
模式口西里,58.58㎡          ,南 北   ,无           ,255挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,板楼       ,低楼层(共6层)          ,1987 ,2019.01.16 成交,250.1万,暂无数据         ,暂无数据,42694元/平,其他     
融泽嘉园,62.68㎡          ,南   ,有           ,345挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,低楼层(共33层)          ,2014 ,2019.01.16 成交,331万,45.73㎡         ,暂无数据,52808元/平,简装     
京贸国际城西区,85.91㎡          ,东南   ,有           ,750挂牌价格（万）,集中供暖        ,2室1厅1厨2卫        ,暂无数据              ,钢混结构  ,塔楼       ,底层(共40层)          ,2011 ,2019.01.16 成交,510万,69.12㎡         ,暂无数据,59365元/平,精装     
中信新城两限区,62.16㎡          ,南   ,暂无数据           ,240挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,钢混结构  ,板楼       ,高楼层(共20层)          ,2013 ,2019.01.16 成交,205万,48.48㎡         ,暂无数据,32980元/平,简装     
华业东方玫瑰D区,123.73㎡          ,南 北   ,有           ,650挂牌价格（万）,集中供暖        ,3室2厅1厨1卫        ,平层              ,钢混结构  ,板楼       ,低楼层(共27层)          ,2012 ,2019.01.16 成交,640万,97.05㎡         ,近地铁,51726元/平,精装     
八角中里,58.58㎡          ,西南   ,无           ,311挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,顶层(共6层)          ,1985 ,2019.01.16 成交,307.8万,暂无数据         ,暂无数据,52544元/平,精装     
建新北区,52.88㎡          ,南   ,无           ,285挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共5层)          ,1983 ,2019.01.16 成交,270万,暂无数据         ,暂无数据,51060元/平,简装     
首开熙悦山澜庭,90.07㎡          ,南 北   ,有           ,389挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,板楼       ,低楼层(共21层)          ,2014 ,2019.01.16 成交,363.8万,69.17㎡         ,近地铁,40391元/平,精装     
古城南里,56.39㎡          ,南   ,有           ,298挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,钢混结构  ,板楼       ,高楼层(共14层)          ,1984 ,2019.01.16 成交,281万,暂无数据         ,近地铁,49832元/平,其他     
荣尊堡国际俱乐部公寓,225.27㎡          ,东南   ,有           ,1550挂牌价格（万）,集中供暖        ,4室2厅1厨4卫        ,平层              ,钢混结构  ,塔楼       ,中楼层(共23层)          ,2005 ,2019.01.16 成交,1420万,186.67㎡         ,近地铁,63036元/平,精装     
圆明园东里,65.9㎡          ,南 北   ,无           ,600挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共5层)          ,1993 ,2019.01.16 成交,570万,58㎡         ,暂无数据,86495元/平,简装     
永定路85号院,40.2㎡          ,南   ,无           ,240挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,暂无数据              ,混合结构  ,板楼       ,低楼层(共6层)          ,1960 ,2019.01.16 成交,210万,暂无数据         ,近地铁,52239元/平,毛坯     
华信大厦宿舍,48.6㎡          ,东   ,无           ,230挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1993 ,2019.01.16 成交,227万,暂无数据         ,暂无数据,46708元/平,其他     
美景东方,43.36㎡          ,东   ,有           ,320挂牌价格（万）,集中供暖        ,1室0厅1厨1卫        ,平层              ,钢混结构  ,板塔结合       ,中楼层(共20层)          ,2005 ,2019.01.16 成交,305万,34.57㎡         ,近地铁,70342元/平,简装     
都市芳园丽湖园,86.77㎡          ,南 北   ,无           ,335挂牌价格（万）,集中供暖        ,2室2厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共5层)          ,2000 ,2019.01.16 成交,319.5万,78.29㎡         ,暂无数据,36822元/平,简装     
远洋山水,134.05㎡          ,南 北   ,有           ,988挂牌价格（万）,集中供暖        ,3室2厅1厨2卫        ,平层              ,钢混结构  ,板塔结合       ,中楼层(共26层)          ,2005 ,2019.01.16 成交,940万,108.89㎡         ,近地铁,70124元/平,精装     
紫成嘉园,144.64㎡          ,南 北   ,有           ,1080挂牌价格（万）,自供暖        ,3室2厅1厨2卫        ,平层              ,钢混结构  ,板楼       ,中楼层(共6层)          ,2006 ,2019.01.02 成交,990万,129.74㎡         ,暂无数据,68446元/平,精装     
芍药居北里,49㎡          ,南   ,有           ,450挂牌价格（万）,集中供暖        ,1室1厅1厨1卫        ,平层              ,钢混结构  ,塔楼       ,高楼层(共24层)          ,1997 ,2019.01.02 成交,414万,暂无数据         ,暂无数据,84490元/平,精装     
松榆西里,58.84㎡          ,南 北   ,无           ,370挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,1993 ,2019.01.03 成交,365万,45㎡         ,近地铁,62033元/平,简装     
石园东区,76.77㎡          ,南 北   ,无           ,290挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,混合结构  ,板楼       ,顶层(共6层)          ,1994 ,2019.01.03 成交,272万,暂无数据         ,暂无数据,35431元/平,简装     
育龙家园,119.35㎡          ,南 北   ,无           ,500挂牌价格（万）,自供暖        ,3室2厅1厨2卫        ,平层              ,混合结构  ,板楼       ,中楼层(共6层)          ,2001 ,2019.01.03 成交,464万,109.09㎡         ,暂无数据,38878元/平,其他     
石榴园南里小区,60.01㎡          ,南 北   ,无           ,315挂牌价格（万）,集中供暖        ,2室1厅1厨1卫        ,平层              ,砖混结构  ,板楼       ,顶层(共6层)          ,1996 ,2019.01.03 成交,293万,暂无数据         ,近地铁,48826元/平,简装     
